Ausgabedatei Z88O3.TXT : Spannungen, erzeugt mit Z88R V15OS
                         **********

bei isoparametrischen Elementen Berechnung der Spannungen in den Gausspunkten
3 Punkte pro Achse/Element
Berechnung der Vergleichsspannungen nach Gestaltsaenderungsenergie-Hypothese fuer Elemente 3 + 6  
sowie fuer Gausspunkte der Elemente 1,7,8,10,11,12,14 bis 24

Element # = 1     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +2.69E+01  +3.32E+01  -7.495E+01  -3.769E+01  +1.169E+02  +2.127E+02
  +2.72E+01  +3.20E+01  -1.515E+02  -2.740E+01  +1.169E+02  +2.460E+02
  +2.75E+01  +3.06E+01  -2.472E+02  -2.493E+01  +1.142E+02  +3.077E+02
  +2.41E+01  +3.38E+01  -5.860E+01  -6.555E+01  +7.997E+01  +1.519E+02
  +2.45E+01  +3.27E+01  -1.091E+02  -4.583E+01  +7.451E+01  +1.602E+02
  +2.50E+01  +3.15E+01  -1.800E+02  -3.477E+01  +6.579E+01  +2.008E+02
  +2.14E+01  +3.44E+01  -1.795E+01  -8.452E+01  +7.411E+01  +1.498E+02
  +2.20E+01  +3.34E+01  -3.266E+01  -5.191E+01  +6.528E+01  +1.219E+02
  +2.25E+01  +3.23E+01  -6.647E+01  -2.822E+01  +5.294E+01  +1.084E+02

Element # = 2     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +2.61E+01  +3.64E+01  +6.981E+01  -3.221E+01  +1.092E+02  +2.096E+02
  +2.64E+01  +3.52E+01  +1.979E+01  -3.321E+01  +1.152E+02  +2.048E+02
  +2.67E+01  +3.40E+01  -3.718E+01  -3.905E+01  +1.174E+02  +2.069E+02
  +2.31E+01  +3.67E+01  +3.075E+01  -9.667E+01  +5.683E+01  +1.515E+02
  +2.34E+01  +3.56E+01  -1.630E+00  -9.300E+01  +6.933E+01  +1.514E+02
  +2.38E+01  +3.45E+01  -4.057E+01  -9.372E+01  +7.828E+01  +1.581E+02
  +2.01E+01  +3.70E+01  +1.649E+01  -9.520E+01  +2.305E+01  +1.118E+02
  +2.06E+01  +3.60E+01  +6.689E+00  -8.142E+01  +4.470E+01  +1.150E+02
  +2.11E+01  +3.50E+01  -7.800E+00  -7.000E+01  +6.377E+01  +1.289E+02

Element # = 3     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +2.55E+01  +3.92E+01  +1.308E+02  -3.822E+01  +5.939E+01  +1.848E+02
  +2.57E+01  +3.81E+01  +1.257E+02  -2.773E+01  +8.320E+01  +2.021E+02
