Ausgabedatei Z88O0.TXT: Strukturdaten, erzeugt mit Z88R V15OS
                        *************

Strukturdaten: Dimension=2 Knoten=249 Elemente=66 FG=498 KFLAG=0
Steuerflags: IBFLAG=0 IPFLAG=0 IQFLAG=0 IHFLAG=0

Koordinaten :

Knoten    FG          X               Y               Z
     1     2      +2.20400E+01    +3.21750E+01    +0.00000E+00
     2     2      +2.12310E+01    +3.35652E+01    +0.00000E+00
     3     2      +2.04663E+01    +3.48892E+01    +0.00000E+00
     4     2      +1.97460E+01    +3.61470E+01    +0.00000E+00
     5     2      +1.90700E+01    +3.73386E+01    +0.00000E+00
     6     2      +1.84383E+01    +3.84639E+01    +0.00000E+00
     7     2      +1.78510E+01    +3.95230E+01    +0.00000E+00
     8     2      +2.51093E+01    +3.11154E+01    +0.00000E+00
     9     2      +2.39567E+01    +3.41791E+01    +0.00000E+00
    10     2      +2.29519E+01    +3.69853E+01    +0.00000E+00
    11     2      +2.20950E+01    +3.95340E+01    +0.00000E+00
    12     2      +2.84003E+01    +2.99898E+01    +0.00000E+00
    13     2      +2.79902E+01    +3.17368E+01    +0.00000E+00
    14     2      +2.76096E+01    +3.34213E+01    +0.00000E+00
    15     2      +2.72587E+01    +3.50432E+01    +0.00000E+00
    16     2      +2.69373E+01    +3.66027E+01    +0.00000E+00
    17     2      +2.66455E+01    +3.80996E+01    +0.00000E+00
    18     2      +2.63833E+01    +3.95340E+01    +0.00000E+00
    19     2      +3.19130E+01    +2.87980E+01    +0.00000E+00
    20     2      +3.14251E+01    +3.26157E+01    +0.00000E+00
    21     2      +3.10261E+01    +3.61907E+01    +0.00000E+00
    22     2      +3.07160E+01    +3.95230E+01    +0.00000E+00
    23     2      +3.56473E+01    +2.75401E+01    +0.00000E+00
    24     2      +3.55178E+01    +2.96806E+01    +0.00000E+00
    25     2      +3.54031E+01    +3.17623E+01    +0.00000E+00
    26     2      +3.53033E+01    +3.37852E+01    +0.00000E+00
    27     2      +3.52184E+01    +3.57493E+01    +0.00000E+00
    28     2      +3.51483E+01    +3.76546E+01    +0.00000E+00
    29     2      +3.50930E+01    +3.95010E+01    +0.00000E+00
    30     2      +3.96033E+01    +2.62161E+01    +0.00000E+00
    31     2      +3.95437E+01    +3.08613E+01    +0.00000E+00
    32     2      +3.95141E+01    +3.52786E+01    +0.00000E+00
    33     2      +3.95143E+01    +3.94680E+01    +0.00000E+00
    34     2      +4.37810E+01    +2.48260E+01    +0.00000E+00
    35     2      +4.38139E+01    +2.73968E+01    +0.00000E+00
    36     2      +4.38469E+01    +2.99124E+01    +0.00000E+00
    37     2      +4.38800E+01    +3.23730E+01    +0.00000E+00
    38     2      +4.39132E+01    +3.47784E+01    +0.00000E+00
    39     2      +4.39466E+01    +3.71288E+01    +0.00000E+00
    40     2      +4.39800E+01    +3.94240E+01    +0.00000E+00
    41     2      +4.87782E+01    +2.55987E+01    +0.00000E+00
    42     2      +4.75123E+01    +3.07325E+01    +0.00000E+00
    43     2      +4.62912E+01    +3.56310E+01    +0.00000E+00
    44     2      +4.51148E+01    +4.02943E+01    +0.00000E+00
    45     2      +5.33656E+01    +2.67243E+01    +0.00000E+00
    46     2      +5.21026E+01    +2.93132E+01    +0.00000E+00
    47     2      +5.08618E+01    +3.18395E+01    +0.00000E+00
    48     2      +4.96433E+01    +3.43033E+01    +0.00000E+00
    49     2      +4.84471E+01    +3.67046E+01    +0.00000E+00
    50     2      +4.72731E+01    +3.90434E+01    +0.00000E+00
    51     2      +4.61214E+01    +4.13197E+01    +0.00000E+00
    52     2      +5.75430E+01    +2.82030E+01    +0.00000E+00
    53     2      +5.38953E+01    +3.32336E+01    +0.00000E+00
    54     2      +5.03810E+01    +3.79992E+01    +0.00000E+00
    55     2      +4.70000E+01    +4.25000E+01    +0.00000E+00
    56     2      +6.13106E+01    +3.00347E+01    +0.00000E+00
    57     2      +5.89395E+01    +3.25096E+01    +0.00000E+00
    58     2      +5.66129E+01    +3.49146E+01    +0.00000E+00
    59     2      +5.43307E+01    +3.72497E+01    +0.00000E+00
    60     2      +5.20929E+01    +3.95148E+01    +0.00000E+00
    61     2      +4.98994E+01    +4.17100E+01    +0.00000E+00
    62     2      +4.77504E+01    +4.38353E+01    +0.00000E+00
    63     2      +6.46682E+01    +3.22193E+01    +0.00000E+00
    64     2      +5.90145E+01    +3.68826E+01    +0.00000E+00
    65     2      +5.35827E+01    +4.12514E+01    +0.00000E+00
    66     2      +4.83728E+01    +4.53257E+01    +0.00000E+00
    67     2      +6.76160E+01    +3.47570E+01    +0.00000E+00
    68     2      +6.43248E+01    +3.69860E+01    +0.00000E+00
    69     2      +6.11001E+01    +3.91377E+01    +0.00000E+00
    70     2      +5.79420E+01    +4.12120E+01    +0.00000E+00
    71     2      +5.48504E+01    +4.32090E+01    +0.00000E+00
    72     2      +5.18254E+01    +4.51287E+01    +0.00000E+00
    73     2      +4.88670E+01    +4.69710E+01    +0.00000E+00
    74     2      +6.81587E+01    +3.96781E+01    +0.00000E+00
    75     2      +6.16836E+01    +4.31320E+01    +0.00000E+00
    76     2      +5.54451E+01    +4.63427E+01    +0.00000E+00
    77     2      +4.94432E+01    +4.93103E+01    +0.00000E+00
    78     2      +6.86903E+01    +4.45771E+01    +0.00000E+00
    79     2      +6.54141E+01    +4.58683E+01    +0.00000E+00
    80     2      +6.21896E+01    +4.71152E+01    +0.00000E+00
    81     2      +5.90168E+01    +4.83179E+01    +0.00000E+00
    82     2      +5.58957E+01    +4.94764E+01    +0.00000E+00
    83     2      +5.28264E+01    +5.05906E+01    +0.00000E+00
    84     2      +4.98089E+01    +5.16607E+01    +0.00000E+00
    85     2      +6.92110E+01    +4.94540E+01    +0.00000E+00
    86     2      +6.26180E+01    +5.10873E+01    +0.00000E+00
    87     2      +5.62023E+01    +5.26100E+01    +0.00000E+00
    88     2      +4.99640E+01    +5.40220E+01    +0.00000E+00
    89     2      +6.97207E+01    +5.43088E+01    +0.00000E+00
    90     2      +6.63263E+01    +5.46841E+01    +0.00000E+00
    91     2      +6.29689E+01    +5.50484E+01    +0.00000E+00
    92     2      +5.96484E+01    +5.54016E+01    +0.00000E+00
    93     2      +5.63649E+01    +5.57436E+01    +0.00000E+00
    94     2      +5.31183E+01    +5.60745E+01    +0.00000E+00
    95     2      +4.99086E+01    +5.63943E+01    +0.00000E+00
    96     2      +7.02193E+01    +5.91414E+01    +0.00000E+00
    97     2      +6.32423E+01    +5.89984E+01    +0.00000E+00
    98     2      +5.63834E+01    +5.88771E+01    +0.00000E+00
    99     2      +4.96426E+01    +5.87777E+01    +0.00000E+00
   100     2      +7.07070E+01    +6.39520E+01    +0.00000E+00
   101     2      +6.70616E+01    +6.34337E+01    +0.00000E+00
   102     2      +6.34382E+01    +6.29373E+01    +0.00000E+00
   103     2      +5.98370E+01    +6.24630E+01    +0.00000E+00
   104     2      +5.62579E+01    +6.20107E+01    +0.00000E+00
   105     2      +5.27009E+01    +6.15803E+01    +0.00000E+00
   106     2      +4.91660E+01    +6.11720E+01    +0.00000E+00
   107     2      +6.76597E+01    +7.07488E+01    +0.00000E+00
   108     2      +6.11864E+01    +6.80939E+01    +0.00000E+00
   109     2      +5.48091E+01    +6.55199E+01    +0.00000E+00
   110     2      +4.85278E+01    +6.30267E+01    +0.00000E+00
   111     2      +6.41027E+01    +7.61774E+01    +0.00000E+00
   112     2      +6.13219E+01    +7.42079E+01    +0.00000E+00
   113     2      +5.85670E+01    +7.22567E+01    +0.00000E+00
   114     2      +5.58379E+01    +7.03239E+01    +0.00000E+00
   115     2      +5.31347E+01    +6.84095E+01    +0.00000E+00
