    3 17801 11209 53403     0  Z88I1.TXT,via Z88G V14OS NASTRAN
    1     3 -1.00000E+001 -4.00000E+001 -5.50000E+000   Knoten #1
    2     3 +1.00000E+001 -4.00000E+001 -5.50000E+000   Knoten #2
    3     3 -1.00000E+001 -4.00000E+001 +5.50000E+000   Knoten #3
    4     3 +1.00000E+001 -4.00000E+001 +5.50000E+000   Knoten #4
    5     3 -8.92904E+000 -4.45025E+001 -5.50000E+000   Knoten #5
    6     3 -5.39410E+000 -4.84204E+001 -5.50000E+000   Knoten #6
    7     3 -3.34240E-001 -4.99944E+001 -5.50000E+000   Knoten #7
    8     3 +4.81947E+000 -4.87620E+001 -5.50000E+000   Knoten #8
    9     3 +8.60827E+000 -4.50890E+001 -5.50000E+000   Knoten #9
   10     3 -1.00000E+001 -4.00000E+001 +0.00000E+000   Knoten #10
   11     3 -8.92904E+000 -4.45025E+001 +5.50000E+000   Knoten #11
   12     3 -5.39410E+000 -4.84204E+001 +5.50000E+000   Knoten #12
   13     3 -3.34240E-001 -4.99944E+001 +5.50000E+000   Knoten #13
   14     3 +4.81947E+000 -4.87620E+001 +5.50000E+000   Knoten #14
   15     3 +8.60827E+000 -4.50890E+001 +5.50000E+000   Knoten #15
   16     3 +1.00000E+001 -4.00000E+001 +0.00000E+000   Knoten #16
   17     3 -7.67275E+000 -4.64132E+001 +4.37473E-002   Knoten #17
   18     3 -3.07808E+000 -4.95145E+001 +7.58896E-002   Knoten #18
   19     3 +2.24499E+000 -4.97447E+001 +5.76107E-002   Knoten #19
   20     3 +6.81097E+000 -4.73219E+001 +2.01928E-001   Knoten #20
   21     3 +9.29453E+000 -4.36894E+001 +1.14039E+000   Knoten #21
   22     3 +8.89940E+000 -3.54392E+001 -5.50000E+000   Knoten #22
   23     3 +5.84234E+000 -3.18841E+001 -5.50000E+000   Knoten #23
   24     3 +1.48081E+000 -3.01102E+001 -5.50000E+000   Knoten #24
   25     3 -3.21746E+000 -3.05317E+001 -5.50000E+000   Knoten #25
   26     3 -7.18739E+000 -3.30472E+001 -5.50000E+000   Knoten #26
   27     3 -9.37624E+000 -3.65235E+001 -5.50000E+000   Knoten #27
   28     3 +8.89940E+000 -3.54392E+001 +5.50000E+000   Knoten #28
   29     3 +5.84234E+000 -3.18841E+001 +5.50000E+000   Knoten #29
   30     3 +1.48081E+000 -3.01102E+001 +5.50000E+000   Knoten #30
   31     3 -3.21746E+000 -3.05317E+001 +5.50000E+000   Knoten #31
   32     3 -7.18739E+000 -3.30472E+001 +5.50000E+000   Knoten #32
   33     3 -9.37624E+000 -3.65235E+001 +5.50000E+000   Knoten #33
   34     3 +7.83526E+000 -3.37864E+001 +4.37473E-002   Knoten #34
   35     3 +3.81506E+000 -3.07563E+001 +7.58896E-002   Knoten #35
   36     3 -9.06286E-001 -3.00412E+001 +5.76107E-002   Knoten #36
   37     3 -5.44917E+000 -3.16151E+001 +1.46977E-001   Knoten #37
   38     3 -8.94637E+000 -3.55321E+001 +8.06711E-001   Knoten #38
   39     3 +1.25000E+001 -4.00000E+001 +5.50000E+000   Knoten #39
   40     3 -1.25000E+001 -4.00000E+001 +5.50000E+000   Knoten #40
   41     3 +1.22730E+001 -3.76290E+001 +5.50000E+000   Knoten #41
   42     3 +1.11106E+001 -3.42733E+001 +5.50000E+000   Knoten #42
   43     3 +8.18938E+000 -3.05563E+001 +5.50000E+000   Knoten #43
   44     3 +4.08064E+000 -2.81849E+001 +5.50000E+000   Knoten #44
   45     3 -6.28467E-001 -2.75161E+001 +5.50000E+000   Knoten #45
   46     3 -5.24046E+000 -2.86521E+001 +5.50000E+000   Knoten #46
   47     3 -9.08309E+000 -3.14131E+001 +5.50000E+000   Knoten #47
   48     3 -1.13802E+001 -3.48289E+001 +5.50000E+000   Knoten #48
   49     3 -1.22730E+001 -3.76290E+001 +5.50000E+000   Knoten #49
