 4430   Z88I5.TXT,via Z88G V12 NASTRAN
  265 +5.00000E+000   731   728   732
  292 +5.00000E+000   344   345   847
  525 +5.00000E+000 16105 16106 15009
  640 +5.00000E+000 15582 15584 15583
  658 +5.00000E+000 15582 15548 15547
  701 +5.00000E+000   812   817   815
  855 +5.00000E+000 15415 15417 15418
  978 +5.00000E+000 15788 15789 15791
 1006 +5.00000E+000 15629 15615 15633
 1252 +5.00000E+000 16067 16068 15742
 1526 +5.00000E+000 15464 15466 15467
 1709 +5.00000E+000   386   237   387
 1796 +5.00000E+000 15568 15567 15666
 2202 +5.00000E+000 15382 15367 15384
 2576 +5.00000E+000 16681 15043 16680
 2980 +5.00000E+000   756   751   757
 3351 +5.00000E+000 15401 15400 15399
 3777 +5.00000E+000 16295 16677 16296
 3797 +5.00000E+000 16395 16394 16398
 3921 +5.00000E+000   448   447   313
 4521 +5.00000E+000   866   714   863
 4531 +5.00000E+000   795   798   790
 5152 +5.00000E+000   630   322   323
 5510 +5.00000E+000 15466 15153 15154
 5633 +5.00000E+000   577   570   574
 5704 +5.00000E+000   574   576   579
 6140 +5.00000E+000 15643 15657 15640
 6478 +5.00000E+000 16188 16189 16210
 6747 +5.00000E+000 15589 15587 15595
 6991 +5.00000E+000 15446 15474 15392
 9096 +5.00000E+000 16673 15036 15035
 9738 +5.00000E+000   790   788   785
10038 +5.00000E+000   284   477   283
10890 +5.00000E+000   771   769   329
10922 +5.00000E+000   658   656   655
11265 +5.00000E+000   579   582   583
11466 +5.00000E+000   602   586   585
11724 +5.00000E+000   744   219   220
11725 +5.00000E+000   371   219   372
11999 +5.00000E+000 16290 16683 16682
12009 +5.00000E+000 15386 15045 15383
12101 +5.00000E+000 14985 15290 15125
12119 +5.00000E+000 15790 15777 15788
12163 +5.00000E+000   828   833   831
12217 +5.00000E+000 15063 15281 15282
12260 +5.00000E+000 16595 16577 16578
12318 +5.00000E+000   769   328   329
12456 +5.00000E+000 16366 16405 16404
13421 +5.00000E+000   516   299   434
14175 +5.00000E+000   499   406   407
14194 +5.00000E+000 15819 15817 15778
14203 +5.00000E+000   508   517   509
14212 +5.00000E+000 15430 15372 15361
14216 +5.00000E+000   513   510   512
14221 +5.00000E+000 15067 15212 15234
14224 +5.00000E+000 15108 15038 15039
14231 +5.00000E+000   574   570   568
14236 +5.00000E+000 16683 16684 15045
14261 +5.00000E+000 15173 15082 15083
14276 +5.00000E+000 15319 15302 15317
14281 +5.00000E+000 15149 15424 15423
14285 +5.00000E+000   768   767   772
14302 +5.00000E+000   842   846   850
14439 +5.00000E+000 15441 15444 15442
14454 +5.00000E+000 15736 16080 16114
14696 +5.00000E+000 16056 16054 16052
14753 +5.00000E+000   343   344   845
14771 +5.00000E+000   899   906   904
14811 +5.00000E+000   747   749   752
14989 +5.00000E+000 15326 15325 15328
14996 +5.00000E+000 15976 16034 15974
15006 +5.00000E+000   892   887   889
15030 +5.00000E+000 15128 15129 15044
15058 +5.00000E+000 15760 15763 15762
15087 +5.00000E+000 16531 16470 16159
15089 +5.00000E+000   371   218   219
15352 +5.00000E+000 16643 16644 16646
15371 +5.00000E+000   732   728   730
15463 +5.00000E+000   549   561   567
15516 +5.00000E+000   615   300   301
15565 +5.00000E+000   247   248   726
15588 +5.00000E+000 15268 14983 15059
15679 +5.00000E+000 16065 16060 16027
15700 +5.00000E+000   799   835   813
15968 +5.00000E+000   281   282   478
15985 +5.00000E+000 15283 15284 15282
16014 +5.00000E+000   472   490   491
16022 +5.00000E+000   482   286   469
16070 +5.00000E+000 15346 15349 15347
16197 +5.00000E+000 15201 15204 15199
16210 +5.00000E+000 15281 15063 15064
16561 +5.00000E+000   452   618   620
16563 +5.00000E+000 15081 15082 15173
16640 +5.00000E+000   334   793   333
16641 +5.00000E+000   654   657   652
16645 +5.00000E+000   783   781   780
16647 +5.00000E+000   798   800   801
16751 +5.00000E+000   851   850   856
16763 +5.00000E+000 15062 15282 15284
16809 +5.00000E+000   360   359   713
16838 +5.00000E+000   654   653   659
16849 +5.00000E+000   716   717   362
16867 +5.00000E+000 15571 15539 16079
16879 +5.00000E+000 16508 16507 16504
16901 +5.00000E+000 15550 15585 15599
16937 +5.00000E+000 15587 15581 15590
17003 +5.00000E+000 16262 16257 16263
17008 +5.00000E+000 16652 16651 16653
17030 +5.00000E+000 16123 16144 16122
17109 +5.00000E+000 15545 15579 15578
17140 +5.00000E+000 16478 16499 16299
17499 +5.00000E+000 15364 15353 15359
17504 +5.00000E+000 16296 16675 16297
17506 +5.00000E+000 15446 15445 15448
17508 +5.00000E+000 15456 15472 15473
17515 +5.00000E+000   527   401   402
17522 +5.00000E+000   187   397   605
17526 +5.00000E+000 15250 15098 15266
17535 +5.00000E+000 15531 15507 15506
17536 +5.00000E+000 16654 14978 16080
17538 +5.00000E+000 16044 16049 16046
17539 +5.00000E+000   628   631   625
17545 +5.00000E+000   887   892   890
17554 +5.00000E+000 16388 16390 16392
17562 +5.00000E+000 16367 15740 15739
17563 +5.00000E+000   634   631   633
17588 +5.00000E+000 15753 15760 15762
17598 +5.00000E+000 15399 15400 15397
