3 9 8 54 0  Z88I1.TXT,erzeugt von Z88X V15.0
    1  6 +0.00000E+000 +0.00000E+000 +0.00000E+000
    2  6 +3.00000E+001 +0.00000E+000 +0.00000E+000
    3  6 +4.00000E+001 +0.00000E+000 +0.00000E+000
    4  6 +5.00000E+001 +0.00000E+000 +0.00000E+000
    5  6 +8.00000E+001 +0.00000E+000 +0.00000E+000
    6  6 +1.10000E+002 +0.00000E+000 +0.00000E+000
    7  6 +1.17500E+002 +0.00000E+000 +0.00000E+000
    8  6 +1.25000E+002 +0.00000E+000 +0.00000E+000
    9  6 +1.85000E+002 +0.00000E+000 +0.00000E+000
    1     5
    1     2
    2     5
    2     3
    3     5
    3     4
    4     5
    4     5
    5     5
    5     6
    6     5
    6     7
    7     5
    7     8
    8     5
    8     9
